timestamp,capacity,voltage_now,v_ocv_uv,current_now,status,health,temp,charge_now,charge_full,charge_full_design,time_to_full_now,time_to_empty_avg,ina228_current_ua,ina228_bus_uv,ina228_power_mw,ina228_dietemp_mdeg_c,fg_mode
2026-07-24T00:40:49.605709,78,4049804,4105148,-672923,Charging,Good,370,2964000,3800000,3800000,3762,0,-672923,4049804,2725,40367,charging
2026-07-24T00:40:59.618309,78,4076953,4105063,-1058969,Charging,Good,370,2964000,3800000,3800000,2866,0,-1058969,4076953,4317,40375,charging
2026-07-24T00:41:09.631406,78,4082031,4104707,-1113876,Charging,Good,370,2964000,3800000,3800000,3540,0,-1113876,4082031,4546,40398,charging
2026-07-24T00:41:19.643442,78,4067968,4104497,-912546,Charging,Good,370,2964000,3800000,3800000,4012,0,-912546,4067968,3712,40429,charging
2026-07-24T00:41:29.655864,78,4083984,4104466,-1128634,Charging,Good,370,2964000,3800000,3800000,2736,0,-1128634,4083984,4609,40468,charging
2026-07-24T00:41:39.668289,78,4083789,4104236,-1127755,Charging,Good,370,2964000,3800000,3800000,2866,0,-1127755,4083789,4605,40500,charging
2026-07-24T00:41:49.680660,78,4080664,4104302,-1066183,Charging,Good,370,2964000,3800000,3800000,2617,0,-1066183,4080664,4350,40554,charging
2026-07-24T00:41:59.718228,78,4085742,4104453,-1127560,Charging,Good,370,2964000,3800000,3800000,2736,0,-1127560,4085742,4606,40585,charging
2026-07-24T00:42:09.730636,78,4078515,4104879,-1029892,Charging,Good,370,2964000,3800000,3800000,2866,0,-1029892,4078515,4200,40617,charging
2026-07-24T00:42:19.743009,78,4086523,4105060,-1125216,Charging,Good,370,2964000,3800000,3800000,2617,0,-1125216,4086523,4598,40632,charging
2026-07-24T00:42:29.755419,79,4082617,4105173,-1060861,Charging,Good,370,3002000,3800000,3800000,2498,0,-1060861,4082617,4331,40656,charging
2026-07-24T00:42:39.767896,79,4102343,4105586,-1305404,Charging,Good,370,3002000,3800000,3800000,2128,0,-1305404,4102343,5355,40687,charging
2026-07-24T00:42:49.780042,79,4074023,4105701,-936850,Charging,Good,370,3002000,3800000,3800000,3192,0,-936850,4074023,3816,40718,charging
2026-07-24T00:42:59.792396,79,4091992,4105876,-1166403,Charging,Good,370,3002000,3800000,3800000,2394,0,-1166403,4091992,4772,40726,charging
2026-07-24T00:43:09.804894,79,4092578,4106482,-1167868,Charging,Good,370,3002000,3800000,3800000,2498,0,-1167868,4092578,4779,40757,charging
2026-07-24T00:43:19.867913,79,4088671,4106713,-1101523,Charging,Good,370,3002000,3800000,3800000,2611,0,-1101523,4088671,4503,40765,charging
2026-07-24T00:43:29.880311,79,4093945,4106959,-1166488,Charging,Good,370,3002000,3800000,3800000,2394,0,-1166488,4093945,4775,40781,charging
2026-07-24T00:43:39.892661,79,4089648,4107703,-1098422,Charging,Good,370,3002000,3800000,3800000,2498,0,-1098422,4089648,4492,40804,charging
2026-07-24T00:43:49.905109,79,4090039,4107953,-1099338,Charging,Good,370,3002000,3800000,3800000,2611,0,-1099338,4090039,4496,40804,charging
2026-07-24T00:43:59.917582,79,4106250,4108314,-1291305,Charging,Good,370,3002000,3800000,3800000,2209,0,-1291305,4106250,5302,40835,charging
